X,Y,OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT
1270635.939889922738075,205734.605958625674248,24,15916,1270635.93989,205734.60596,33154,13,64516,GRDWM,3RD AVE S AND S BRANDON ST,0, ,NONE,-122.330921818995,47.5541477986518
1276962.733880400657654,249620.314291566610336,25,6343,1276962.73388,249620.31429,25975,13,15508,NE,18TH AVE NE AND NE 63RD ST,0, ,NONE,-122.308712050625,47.674772548148
1266681.78974187374115,238739.318440422415733,26,9227,1266681.78974,238739.31844,28059,13,29517,MGNL-QA,4TH AVE N AND NEWELL ST,0, ,NONE,-122.34956498387,47.6444002892073
1276644.805176079273224,232145.846177667379379,27,10785,1276644.80518,232145.84618,29323,13,37528,E,18TH AVE E AND E ALOHA ST,3, ,NONE,-122.308642615062,47.6268586247451
1278424.592441901564598,201194.418817967176437,28,16894,1278424.59244,201194.41882,167607,13,72277,GRDWM,BEACON ER AVE S AND S BRIGHTON ST,2, ,NONE,-122.299035819583,47.5421142941596
1284373.27929599583149,189435.079029932618141,29,19155,1284373.2793,189435.07903,38155,13,305305,SE,47TH AVE S AND S VICTOR ST,0, ,NONE,-122.274064037733,47.5101898489669
1277638.948153093457222,202782.482563599944115,30,16554,1277638.94815,202782.48256,33402,13,65767,GRDWM,24TH AVE S AND S GRAHAM ST,2, ,NONE,-122.302338840859,47.546426101173
1273334.001204684376717,243912.146605715155602,31,8015,1273334.0012,243912.14661,27084,13,23124,LKUN,5TH AVE NE AND NE 43RD ST,0, ,NONE,-122.322990130985,47.6589349640042
1264507.047211647033691,233061.134498611092567,32,10606,1264507.04721,233061.1345,28589,13,34147,MGNL-QA,1ST AVE W AND W PROSPECT ST,0, ,NONE,-122.357929236012,47.6287188724303
1284145.7669757604599,248893.250226810574532,33,6545,1284145.76698,248893.25023,26103,13,16115,NE,45TH AVE NE AND OBERLIN AVE NE,0, ,NONE,-122.27950524093,47.6731534429381
1278260.694841742515564,213225.946510300040245,34,14143,1278260.69484,213225.94651,31501,13,52349,GRDWM,25TH AVE S AND S HANFORD W ST,0, ,NONE,-122.300628001753,47.5750840757004
1269634.584112897515297,260144.607934340834618,35,3881,1269634.58411,260144.60793,37285,13,232111,NW,ASHWORTH AVE N AND N 103RD ST,0, ,NONE,-122.339287805445,47.7032301785833
1284475.611456096172333,240014.161321729421616,36,8981,1284475.61146,240014.16132,27383,13,25324,NE,WEBSTER POINT RD NE AND DEAD END,0, ,NONE,-122.277490375442,47.6488328210436
1273896.873013272881508,216957.778578117489815,37,13399,1273896.87301,216957.77858,31252,13,51128,GRDWM,11TH AVE S AND BEACON AVE S,2, ,NONE,-122.31859567492,47.5850834952763
1277243.785272687673569,251979.005365982651711,38,5706,1277243.78527,251979.00537,24775,13,6720,NE,19TH AVE NE AND NE 73RD ST,0, ,NONE,-122.307754870502,47.6812524397594
1273168.277812525629997,215047.111824154853821,39,13772,1273168.27781,215047.11182,31299,13,51316,GRDWM,AIRPORT WAY S AND S LANDER N ST,1, ,CITY,-122.321397757501,47.5798078124612
1284096.372799709439278,244566.920110389590263,40,7820,1284096.3728,244566.92011,27317,13,25116,NE,45TH AVE NE AND NE 45TH ST,3, ,NONE,-122.27937574802,47.6612924237059
1271400.498994708061218,268572.418502971529961,41,2739,1271400.49899,268572.4185,35952,13,220708,NW,BAGLEY AVE N AND DEAD END 3,0, ,NONE,-122.332784117852,47.7264249654353
1281910.66374146938324,197600.676222294569016,42,17610,1281910.66374,197600.67622,34579,13,73735,GRDWM,38TH AVE S AND DEAD END 2 ,0, ,NONE,-122.284649729608,47.5324449650536
1267998.068783223628998,262168.25235241651535,43,3546,1267998.06878,262168.25235,36404,13,225716,NW,WHITMAN AVE N AND DEAD END,0, ,NONE,-122.346094451764,47.7086889046381
1277046.984248489141464,223620.778136938810349,44,12337,1277046.98425,223620.77814,30214,13,41756,CNTRL,20TH AVE AND E SPRUCE ST,0, ,NONE,-122.30635024175,47.6035126487446
1279860.657211378216743,213532.739470601081848,45,14078,1279860.65721,213532.73947,31512,13,52456,SE,30TH AVE S AND S MOUNT BAKER WB S BV,3, ,NONE,-122.294170819839,47.5760084357747
1258588.13520559668541,210475.502475470304489,46,14959,1258588.13521,210475.50248,31889,13,54316,SW,38TH AVE SW AND SW DAKOTA ST,0, ,NONE,-122.380087590731,47.566489128033
1266982.788142189383507,260074.185406267642975,47,3897,1266982.78814,260074.18541,37392,13,232513,NW,FREMONT AVE N AND N 102ND ST,0, ,NONE,-122.350049824151,47.7028943919683
1262917.305642023682594,233648.180131211876869,48,10480,1262917.30564,233648.18013,28622,13,34181,MGNL-QA,6TH AVE W AND DEAD END 3,0, ,NONE,-122.364422497788,47.6302414139565
1259627.888166651129723,247451.450289338827133,49,6969,1259627.88817,247451.45029,25149,13,11301,BLRD,17TH AVE NW AND NW 54TH ST,0, ,NONE,-122.378884589888,47.6678950846176
1270923.046706229448318,256676.489658787846565,50,4620,1270923.04671,256676.48966,37592,13,233728,NW,MERIDIAN AVE N AND N 90TH S ST,0, ,NONE,-122.333781359257,47.6937932036081
1271736.444467052817345,208289.890697240829468,51,15344,1271736.44447,208289.8907,32387,13,57731,GRDWM,6TH AVE S AND S ALASKA ST,0, ,NONE,-122.326666756317,47.5612103924812
1284997.912640631198883,204094.502276942133904,52,16282,1284997.91264,204094.50228,33522,13,66335,SE,48TH AVE S AND S MEAD ST,0, ,NONE,-122.272646362561,47.5504035423194
1282910.412350490689278,229978.413983449339867,53,11220,1282910.41235,229978.41398,29469,13,38734,E,LAKE WASHINGTON BLVD E AND MCGILVRA BLVD E,3, ,NONE,-122.283072376403,47.6212441294689
1279961.801531478762627,227858.068637281656265,54,11636,1279961.80153,227858.06864,30005,13,41128,CNTRL,29TH AVE AND E PINE ST,0, ,NONE,-122.294863275971,47.6152793736568
1274207.080245584249496,254314.13036036491394,55,5152,1274207.08025,254314.13036,24389,13,5118,N,8TH AVE NE AND NE 81ST ST,0, ,NONE,-122.320263483938,47.6874927924767
1273477.650228843092918,215798.70350493490696,56,13640,1273477.65023,215798.7035,31334,13,51458,GRDWM,S STACY ST AND DEAD END 1,0, ,NONE,-122.320203346892,47.5818843018564
1283619.800639227032661,256801.221306920051575,57,4561,1283619.80064,256801.22131,38454,13,235721,NE,42ND AVE NE AND NE 92ND S ST,0, ,NONE,-122.282244030083,47.6948020553678
1260542.681383594870567,237506.376615151762962,58,9561,1260542.68138,237506.37662,340119,13,28657,MGNL-QA,GILMAN UPPER DR W AND W WHEELER ST,0, ,NONE,-122.374364415596,47.6406865744605
1268735.366191983222961,234376.496291950345039,59,47040,1268735.36619,234376.49629,516428,13,29472,MGNL-QA,8TH AVE N AND WESTLAKE N AVE N,1, ,CITY,-122.340889131027,47.6325525715815
1272965.433396309614182,194347.359610959887505,60,18220,1272965.4334,194347.35961,286961,13,78453,GRDWM,DUWAMISH RIVER TRL AND S HENDERSON ST,, ,NONE,-122.320598716799,47.5230594685673
1269327.378736585378647,223160.903320461511612,61,47117,1269327.37874,223160.90332,534668,13,43223,DWNTN,COLMAN DOCK ACCESS RD AND DEAD END,0, ,NONE,-122.337599419405,47.6018427886
1269058.773296311497688,225881.387419253587723,62,11969,1269058.7733,225881.38742,29592,13,39318,DWNTN,2ND AVE AND PIKE ST,1, ,CITY,-122.338903694973,47.6092851430709
1278931.970362424850464,228737.726110175251961,63,11471,1278931.97036,228737.72611,30040,13,41164,CNTRL,E HOWELL ST AND DEAD END,0, ,NONE,-122.299105832167,47.6176368159976
1256971.284515932202339,238592.099240273237228,64,9266,1256971.28452,238592.09924,27647,13,27528,MGNL-QA,25TH AVE W AND W RAYE ST,0, ,NONE,-122.388937558035,47.6434654928378
1254846.03625775873661,247814.106033712625504,65,6852,1254846.03626,247814.10603,25064,13,10301,BLRD,32ND AVE NW AND NW MARKET ST,3, ,NONE,-122.3983178549,47.6686241787713
1268928.176944181323051,230113.763999581336975,66,11168,1268928.17694,230113.764,28790,13,35336,LKUN,9TH AVE N AND THOMAS ST,1, ,NONE,-122.339768874637,47.6208789307226
1273065.95640441775322,248776.850866705179214,67,6584,1273065.9564,248776.85087,25827,13,14518,LKUN-NW,4TH AVE NE AND NE 60TH ST,0, ,NONE,-122.324460076617,47.6722547467388
1280887.647548422217369,212224.253581270575523,68,14415,1280887.64755,212224.25358,32644,13,59521,SE,34TH AVE S AND S HINDS ST,0, ,NONE,-122.289910505333,47.5724752416448
1261192.631592258810997,236209.372325822710991,69,9896,1261192.63159,236209.37233,27971,13,28747,MGNL-QA,11TH AVE W AND GILMAN UPPER DR W,0, ,NONE,-122.371623312604,47.6371672113301
1261301.802536368370056,255711.223481804132462,70,4836,1261301.80254,255711.22348,37268,13,231744,BLRD,13TH AVE NW AND NW 85TH ST,1, ,NONE,-122.372762834174,47.6906265429034
1271632.332594946026802,261419.461567640304565,71,3650,1271632.33259,261419.46157,36590,13,226727,NW,CORLISS AVE N AND CORLISS AV I5 SB ON RP,5, ,NONE,-122.331276654417,47.7068313818188
1279245.244986742734909,217516.135058686137199,72,13282,1279245.24499,217516.13506,31413,13,52119,SE,28TH AVE S AND S GRAND ST,0, ,NONE,-122.296970553006,47.5868948525993
1278436.841273918747902,217535.101586699485779,73,13277,1278436.84127,217535.10159,31416,13,52122,SE,25TH AVE S AND S GRAND ST,0, ,NONE,-122.300247259055,47.5869046446301
1281553.001789107918739,211885.534092918038368,74,14623,1281553.00179,211885.53409,32655,13,59534,SE,COURTLAND PL S AND S SPOKANE ST,0, ,NONE,-122.287189644,47.5715813013024
1280938.994748473167419,213781.985678866505623,75,14024,1280938.99475,213781.98568,30870,13,46730,SE,34TH AVE S AND S MOUNT BAKER EB BV,3, ,NONE,-122.289821956345,47.5767476498205
1268010.222639232873917,243919.335597723722458,76,8014,1268010.22264,243919.3356,26819,13,22134,LKUN,WOODLAND PARK AVE N AND N MOTOR PL,0, ,NONE,-122.344589595505,47.6586701205957
1281594.2380131483078,199292.230016022920609,77,17249,1281594.23801,199292.23002,34560,13,73710,GRDWM,S MYRTLE PL AND S OTHELLO ST,1, ,NONE,-122.286059643155,47.5370651538446
1277058.588984504342079,236174.732965797185898,78,9906,1277058.58898,236174.73297,28440,13,31717,NE,19TH AVE E AND BOYER AVE E,2, ,NONE,-122.307277799493,47.6379234778665
1256200.914723142981529,207910.487432852387428,79,15419,1256200.91472,207910.48743,32845,13,61503,SW,45TH AVE SW AND SW EDMUNDS ST,0, ,NONE,-122.389545295066,47.5593266576787
1280208.583483725786209,216613.239185765385628,80,13473,1280208.58348,216613.23919,31445,13,52155,SE,31ST AVE S AND S HILL ST,3, ,NONE,-122.292998195347,47.5844701759117
1282987.727934584021568,263045.627329304814339,81,3442,1282987.72793,263045.62733,36826,13,228702,N,40TH AVE NE AND NE 115TH ST,0, ,NONE,-122.285288569458,47.7118852753271
1262911.984938025474548,233414.531234964728355,82,10529,1262911.98494,233414.53124,28580,13,34138,MGNL-QA,6TH AVE W AND W HIGHLAND DR,0, ,NONE,-122.364425220691,47.629600704815
1275301.82994270324707,212023.149197056889534,83,14552,1275301.82994,212023.1492,32532,13,58524,GRDWM,16TH AVE S AND S SPOKANE ST,2, ,NONE,-122.312519407205,47.5716319424316
1257033.356068,202710.877571523189545,84,16563,1257033.35607,202710.87757,33751,13,68107,SW,42ND AVE SW AND FAUNTLEROY WAY SW,1, ,NONE,-122.385749740714,47.5451209673026
1271758.321459084749222,210225.575819224119186,85,15004,1271758.32146,210225.57582,32390,13,57853,GRDWM,6TH AVE S AND S INDUSTRIAL EB WAY,2, ,NONE,-122.326730296665,47.5665172215148
1268048.422191277146339,232736.149410277605057,86,10677,1268048.42219,232736.14941,28727,13,35120,MGNL-QA,AURORA AVE N AND WARD ST,1, ,NONE,-122.343544142415,47.6280195218017
1264431.253803580999374,242014.366891771554947,87,8565,1264431.2538,242014.36689,26678,13,21311,LKUN,LEARY WAY NW AND NW 36TH E ST,1, ,NONE,-122.358956327565,47.6532551089465
1270709.732401996850967,194304.605562925338745,88,18231,1270709.7324,194304.60556,35191,13,78707,GRDWM,4TH AVE S AND S HENDERSON S ST,0, ,NONE,-122.329723048022,47.5228224098054
1273586.313524946570396,252607.441078618168831,89,5535,1273586.31352,252607.44108,24608,13,5851,NW,NE MAPLE LEAF PL AND DEAD END,0, ,NONE,-122.322649278431,47.6827819014208
1258282.543909281492233,259090.054589256644249,90,4088,1258282.54391,259090.05459,36913,13,230145,BLRD,23RD AVE NW AND NW 97TH ST,0, ,NONE,-122.385296142044,47.6997214383424
1280848.158780381083488,255438.451129525899887,91,4898,1280848.15878,255438.45113,37684,13,234350,NE,32ND AVE NE AND NE 86TH ST,0, ,NONE,-122.293391673619,47.6909231110752
1265947.020333126187325,256271.109562367200851,92,4703,1265947.02033,256271.10956,37449,13,232726,NW,PHINNEY AVE N AND N 87TH ST,0, ,NONE,-122.353950371762,47.6924143287489
1256897.120291858911514,208545.764233499765396,93,15294,1256897.12029,208545.76423,31916,13,54344,SW,CALIFORNIA AVE SW AND SW ALASKA ST,2, ,CITY,-122.38677811225,47.5611064677374
1279569.959227070212364,230505.526943981647491,94,11096,1279569.95923,230505.52694,29258,13,37327,CNTRL,E ARTHUR PL AND E HARRISON ST,0, ,NONE,-122.296655782075,47.6225156286436
1281055.704892605543137,226968.291228368878365,95,11788,1281055.70489,226968.29123,30263,13,42556,CNTRL,33RD AVE AND E UNION ST,3, ,NONE,-122.29036060899,47.6128973600855
1282149.422141715884209,243817.735853612422943,96,8034,1282149.42214,243817.73585,27409,13,25520,NE,NE 42ND ST AND DEAD END 2,0, ,NONE,-122.287217683163,47.6591383501457
1278903.408186390995979,219252.06133246421814,97,12968,1278903.40819,219252.06133,30684,13,45362,CNTRL,26TH AVE S AND S WADSWORTH PL,0, ,NONE,-122.298489419969,47.5916351851244
1281722.718013286590576,207167.584904089570045,98,15580,1281722.71801,207167.5849,33567,13,66510,SE,37TH AVE S AND S EDMUNDS ST,0, ,NONE,-122.286141448783,47.5586581763181
1272920.548660263419151,227975.519645392894745,99,11599,1272920.54866,227975.51965,29734,13,40109,E,BOYLSTON AVE AND E PINE ST,2, ,NONE,-122.323415471892,47.6152311420621
1263781.986090913414955,267573.289157941937447,100,2860,1263781.98609,267573.28916,35624,13,218317,NW,6TH AVE NW AND NW 130TH ST,0, ,NONE,-122.363652187509,47.7232752933043
1286107.522369772195816,205143.760262012481689,101,16067,1286107.52237,205143.76026,33684,13,67533,SE,52ND AVE S AND WILSON N AVE S,2, ,NONE,-122.268233118841,47.5533363763322
1262609.563177704811096,239964.02858567237854,102,8993,1262609.56318,239964.02859,26779,13,21751,MGNL-QA,W ETRURIA ST AND DEAD END,0, ,NONE,-122.366180497818,47.6475360097273
1275149.073974549770355,231226.069408729672432,103,10982,1275149.07397,231226.06941,29007,13,36319,E,14TH AVE E AND E MERCER ST,0, ,NONE,-122.314635398621,47.6242587677231
1265651.679532825946808,259577.545405760407448,104,3995,1265651.67953,259577.54541,37396,13,232517,NW,GREENWOOD AVE N AND N 100TH ST,2, ,NONE,-122.355414876816,47.7014610846135
1286746.834498420357704,195426.664060071110725,105,18014,1286746.8345,195426.66406,35429,13,81530,SE,SEWARD PARK AVE S AND S CLOVERDALE ST,2, ,NONE,-122.264912624347,47.5267342964622
1274197.682997569441795,253257.609143286943436,106,5374,1274197.683,253257.60914,24415,13,5144,N,8TH AVE NE AND NE 77TH ST,0, ,NONE,-122.320218756679,47.6845964006505
1261439.713576510548592,237974.570407643914223,107,9429,1261439.71358,237974.57041,27902,13,28556,MGNL-QA,WESTVIEW DR W AND W HALLADAY ST,0, ,NONE,-122.370764342464,47.642019049025
1285043.064640685915947,248891.980210810899734,108,6547,1285043.06464,248891.98021,26101,13,16112,NE,ANN ARBOR AVE NE AND NE 60TH ST,0, ,NONE,-122.275863695206,47.673196127957
1281619.404605180025101,221012.511126264929771,109,12726,1281619.40461,221012.51113,35554,13,146855,CNTRL,LAKESIDE UPPER AVE S AND S LANE ST,0, ,NONE,-122.28761936008,47.5966017990423
1280356.971323877573013,270425.448392868041992,110,2528,1280356.97132,270425.44839,36003,13,221117,N,30TH AVE NE AND NE 143RD ST,3, ,NONE,-122.29654264306,47.7319766702038
1263328.444970443844795,211988.217741027474403,111,14569,1263328.44497,211988.21774,286979,13,55275,DLRD,22ND AVE SW CONNCTR TRL AND DELRIDGE CONNCTR TRL,0, ,NONE,-122.361011712264,47.5708949661611
1277921.686073392629623,218514.56117171049118,112,13113,1277921.68607,218514.56117,287008,13,45867,SE,MOUNTAINS TO SOUND TRL AND S ATLANTIC ST,0, ,NONE,-122.302410167667,47.5895623967866
1283877.340223491191864,193146.0046017318964,113,18426,1283877.34022,193146.0046,286941,13,80463,SE,45TH AVE S AND S SHELL ST,0, ,NONE,-122.27635192487,47.5203360621811
1278884.176186367869377,209929.779594913125038,114,15034,1278884.17619,209929.77959,335198,13,58453,GRDWM,29TH AVE S AND S DAKOTA ST,0, ,NONE,-122.297848430947,47.5660818588413
1279124.269882619380951,238607.657128289341927,115,9259,1279124.26988,238607.65713,493077,13,31258,NE,MONTLAKE BV EB ON RP AND SR520 EB,4, ,NONE,-122.29908844475,47.6447002481335
1281471.044925019145012,263973.735618263483047,116,3315,1281471.04492,263973.73562,36629,13,227132,N,33RD PL NE AND 35TH AVE NE,2, ,NONE,-122.291519628602,47.7143505975134
1264048.805163189768791,245546.93137538433075,117,7482,1264048.80516,245546.93138,25363,13,12364,LKUN,3RD AVE NW AND NW 47TH S ST,3, ,NONE,-122.360792236488,47.662916882631
1266714.886957913637161,259815.728574007749557,118,3932,1266714.88696,259815.72857,37403,13,232524,NW,EVANSTON AVE N AND N 101ST ST,0, ,NONE,-122.351116932623,47.7021714961292
1267254.818094462156296,236795.857062429189682,119,9763,1267254.81809,236795.85706,27995,13,29705,MGNL-QA,5TH AVE N AND LYNN ST,0, ,NONE,-122.347085753449,47.6391042709869
1261891.514920979738235,237963.854759618639946,120,9433,1261891.51492,237963.85476,27904,13,28558,MGNL-QA,9TH AVE W AND W HALLADAY ST,0, ,NONE,-122.368931097445,47.6420144064355
1255818.704418748617172,201708.363394498825073,121,16806,1255818.70442,201708.36339,165436,13,68530,SW,45TH AVE SW AND SW WILLOW ST,0, ,NONE,-122.390584700053,47.5423058698575
1275438.33503083884716,253341.425847366452217,122,5355,1275438.33503,253341.42585,24413,13,5142,NE,12TH AVE NE AND NE 77TH ST,1, ,NONE,-122.315189385429,47.6848917401345
1276303.485751733183861,264597.641410902142525,123,3228,1276303.48575,264597.64141,36449,13,226124,N-NW,15TH AVE NE AND NE 120TH ST,1, ,HALFPED,-122.312555980243,47.7157903568824
1272947.639604300260544,194052.508282661437988,124,18273,1272947.6396,194052.50828,35133,13,78323,GRDWM,S DIRECTOR ST AND DEAD END 4 ,0, ,NONE,-122.320647657688,47.5222503443349
1282351.581501930952072,212654.570381715893745,125,14294,1282351.5815,212654.57038,32637,13,59511,SE,BELLA VISTA AVE S AND S HORTON ST,0, ,NONE,-122.28401386679,47.5737305445921
1279534.874171048402786,256265.782970368862152,126,4705,1279534.87417,256265.78297,37665,13,234325,NE,27TH AVE NE AND NE 89TH ST,0, ,NONE,-122.298787055102,47.693122387155
1271151.057458460330963,197381.918334066867828,127,17638,1271151.05746,197381.91833,35147,13,78504,GRDWM,5TH AVE S AND S MONROE ST,0, ,NONE,-122.328179143627,47.5312807564382
1266756.407341957092285,233391.287714943289757,128,10535,1266756.40734,233391.28772,28844,13,35535,MGNL-QA,4TH AVE N AND HIGHLAND DR,0, ,NONE,-122.348835122207,47.6297456018509
1283681.958975285291672,207391.883656322956085,129,15519,1283681.95898,207391.88366,33416,13,66104,SE,44TH AVE S AND S ANGELINE ST,0, ,NONE,-122.278224914443,47.5593740980214
1274357.341237738728523,243374.630061164498329,130,8166,1274357.34124,243374.63006,27094,13,23134,NE,9TH AVE NE AND NE 42ND ST,1, ,NONE,-122.31879625213,47.6575158712594
1271912.910899236798286,196838.315645515918732,131,17738,1271912.9109,196838.31565,35183,13,78668,GRDWM,S SOUTHERN ST AND DEAD END,0, ,NONE,-122.325053162575,47.5298312800624
1280339.335227862000465,267114.335173472762108,132,2913,1280339.33523,267114.33517,36054,13,221325,N,30TH AVE NE AND NE 130TH ST,3, ,NONE,-122.29635851954,47.7229000507779
1281143.621692687273026,217767.248786941170692,133,13244,1281143.62169,217767.24879,30833,13,46510,SE,LAKE WASHINGTON BLVD S AND S MASSACHUSETTS ST,0, ,NONE,-122.289298524844,47.5876818714617
1254537.497121438384056,258494.78828464448452,134,4208,1254537.49712,258494.78828,36869,13,229302,BLRD,NW ESPLANADE AND DEAD END,0, ,NONE,-122.400452507516,47.6978818140818
1254923.75324983894825,252560.803766578435898,135,5549,1254923.75325,252560.80377,23997,13,2705,BLRD,32ND AVE NW AND NW 73RD ST,3, ,NONE,-122.398394260611,47.6816388166816
1270468.050225749611855,198182.859390884637833,136,17477,1270468.05023,198182.85939,34272,13,71731,GRDWM,S PORTLAND ST AND DEAD END 2 ,0, ,NONE,-122.331006459928,47.5334397110508
1257900.262948885560036,199255.554687991738319,137,17257,1257900.26295,199255.55469,33817,13,68336,SW,39TH AVE SW AND SW WEBSTER ST,0, ,NONE,-122.381958845917,47.5356980313424
1275720.599607139825821,221754.526615023612976,138,12637,1275720.59961,221754.52662,30761,13,45552,CNTRL,16TH AVE S AND S KING ST,0, ,NONE,-122.311580475256,47.5983275583919
1273103.130420461297035,210083.711883082985878,139,15016,1273103.13042,210083.71188,32292,13,57316,GRDWM,9TH AVE S AND S ADAMS ST,0, ,NONE,-122.321272864385,47.5661997850822
1257492.464420467615128,247780.354737684130669,140,6862,1257492.46442,247780.35474,25143,13,11136,BLRD,24TH AVE NW AND NW MARKET ST,2, ,CITY,-122.387576487717,47.6686786927666
1281348.164924904704094,227805.370525225996971,141,11646,1281348.16492,227805.37053,30251,13,42540,CNTRL,34TH AVE AND E PINE ST,3, ,NONE,-122.289239314789,47.615206966504
1273099.423028454184532,237749.01008740067482,142,9501,1273099.42303,237749.01009,28209,13,30131,LKUN,BOYLSTON AVE E AND E LOUISA ST,2, ,NONE,-122.323457609944,47.6420295247017
1256674.261027634143829,202792.736387610435486,143,16552,1256674.26103,202792.73639,33753,13,68109,SW,CALIFORNIA AVE SW AND SW BEVERIDGE PL,2, ,NONE,-122.387210104687,47.5453254698291
1265366.413100525736809,229351.305630803108215,144,11322,1265366.4131,229351.30563,29662,13,39516,DWNTN,DENNY WAY AND WARREN AVE N,1, ,NONE,-122.35414746774,47.6185970219203
1271635.981874957680702,205983.44845487177372,145,15840,1271635.98187,205983.44845,33157,13,64519,GRDWM,6TH AVE S AND S BENNETT ST,0, ,NONE,-122.326892287357,47.554883146447
1281150.665020689368248,264410.432194709777832,146,3260,1281150.66502,264410.43219,36618,13,227120,N,33RD AVE NE AND NE 120TH ST,0, ,NONE,-122.292854474577,47.7155309277943
